image_path,mask_path
/home/Trachoma/annotated_data/FollicleDetection/SAMFollicleMasks/manual_check/Images/0301001_2.png,/home/Trachoma/annotated_data/FollicleDetection/SAMFollicleMasks/manual_check/Mask/0301001_2.png
/home/Trachoma/annotated_data/FollicleDetection/SAMFollicleMasks/manual_check/Images/0301004_12.png,/home/Trachoma/annotated_data/FollicleDetection/SAMFollicleMasks/manual_check/Mask/0301004_12.png
/home/Trachoma/annotated_data/FollicleDetection/SAMFollicleMasks/manual_check/Images/0301072_14.png,/home/Trachoma/annotated_data/FollicleDetection/SAMFollicleMasks/manual_check/Mask/0301072_14.png
/home/Trachoma/annotated_data/FollicleDetection/SAMFollicleMasks/manual_check/Images/0301077_24.png,/home/Trachoma/annotated_data/FollicleDetection/SAMFollicleMasks/manual_check/Mask/0301077_24.png
/home/Trachoma/annotated_data/FollicleDetection/SAMFollicleMasks/manual_check/Images/0301079_33.png,/home/Trachoma/annotated_data/FollicleDetection/SAMFollicleMasks/manual_check/Mask/0301079_33.png
/home/Trachoma/annotated_data/FollicleDetection/SAMFollicleMasks/manual_check/Images/0302021_32.png,/home/Trachoma/annotated_data/FollicleDetection/SAMFollicleMasks/manual_check/Mask/0302021_32.png
/home/Trachoma/annotated_data/FollicleDetection/SAMFollicleMasks/manual_check/Images/0302036_77.png,/home/Trachoma/annotated_data/FollicleDetection/SAMFollicleMasks/manual_check/Mask/0302036_77.png
/home/Trachoma/annotated_data/FollicleDetection/SAMFollicleMasks/manual_check/Images/0302044_101.png,/home/Trachoma/annotated_data/FollicleDetection/SAMFollicleMasks/manual_check/Mask/0302044_101.png
/home/Trachoma/annotated_data/FollicleDetection/SAMFollicleMasks/manual_check/Images/0302044_102.png,/home/Trachoma/annotated_data/FollicleDetection/SAMFollicleMasks/manual_check/Mask/0302044_102.png
/home/Trachoma/annotated_data/FollicleDetection/SAMFollicleMasks/manual_check/Images/0302052_125.png,/home/Trachoma/annotated_data/FollicleDetection/SAMFollicleMasks/manual_check/Mask/0302052_125.png
/home/Trachoma/annotated_data/FollicleDetection/SAMFollicleMasks/manual_check/Images/0302052_126.png,/home/Trachoma/annotated_data/FollicleDetection/SAMFollicleMasks/manual_check/Mask/0302052_126.png
