,image,True CLass,Predicted Class
0,image1032.jpg,1,1
1,image576.jpg,1,1
2,image1469.jpg,1,1
3,image465.jpg,1,1
4,image1121.jpg,1,1
5,image1015.jpg,1,1
6,image871.jpg,1,1
7,image913.jpg,1,1
8,image912.jpg,1,1
9,image71.jpg,1,1
10,image1337.jpg,1,1
11,image828.jpg,1,1
12,image1253.jpg,1,1
13,image1613.jpg,1,1
14,060333010114_111819_125858_R.jpg,1,0
15,image568.jpg,1,1
16,image310.jpg,1,1
17,image702.jpg,1,1
18,image1023.jpg,1,1
19,image914.jpg,1,1
20,image923.jpg,1,1
21,image1151.jpg,1,1
22,image77.jpg,1,1
23,image1338.jpg,1,1
24,image819.jpg,1,1
25,image593.jpg,1,1
26,image348.jpg,1,1
27,image182.jpg,1,1
28,image1349.jpg,1,0
29,image1236.jpg,1,1
30,image148.jpg,1,1
31,image940.jpg,1,0
32,image618.jpg,1,1
33,image835.jpg,1,1
34,image689.jpg,1,0
35,image1394.jpg,1,1
36,image384.jpg,1,1
37,image1379.jpg,1,1
38,image1421.jpg,1,1
39,image1371.jpg,1,1
40,image571.jpg,1,1
41,060333004656_112119_035317_L.jpg,1,1
42,image140.jpg,1,1
43,image1620.jpg,1,1
44,image886.jpg,1,1
45,image1096.jpg,1,1
46,image1248.jpg,1,1
47,image747.jpg,1,1
48,image1411.jpg,1,1
49,060333004663_112119_035847_R.jpg,1,1
50,image1119.jpg,1,1
51,image115.jpg,1,1
52,image760.jpg,1,1
53,image934.jpg,1,1
54,image754.jpg,1,1
55,image1001.jpg,1,1
56,image1305.jpg,1,1
57,image534.jpg,1,1
58,image731.jpg,1,1
59,060333004649_112119_035133_R.jpg,1,1
60,image1493.jpg,1,1
61,image292.jpg,1,1
62,image750.jpg,1,1
63,060333003819_111819_050956_L.jpg,1,1
64,060333006025_111419_123716_L.jpg,1,1
65,image756.jpg,1,1
66,image1043.jpg,1,1
67,image444.jpg,1,1
68,image294.jpg,1,1
69,image484.jpg,1,0
70,image578.jpg,1,0
71,image1537.jpg,1,1
72,image192.jpg,1,1
73,image579.jpg,1,1
74,image212.jpg,1,1
75,image1404.jpg,1,1
76,image523.jpg,1,1
77,image560.jpg,1,1
78,060333007183_111719_114409_L.jpg,1,0
79,image462.jpg,1,1
80,image758.jpg,1,1
81,image16.jpg,1,1
82,image1213.jpg,1,1
83,image191.jpg,1,1
84,image1364.jpg,1,0
85,image802.jpg,1,1
86,image1144.jpg,1,1
87,image651.jpg,1,1
88,image492.jpg,1,1
89,image984.jpg,1,0
90,image1626.jpg,1,1
91,image42.jpg,1,1
92,060333006186_111419_025315_R.jpg,0,0
93,image1125.jpg,0,0
94,060333007381_111719_014146_R.jpg,0,0
95,060333004014_111919_104144_R.jpg,0,0
96,060333002911_111419_103534_R.jpg,0,0
97,060333013191_111919_125448_R.jpg,0,0
98,image1462.jpg,0,1
99,060333002447_111219_021156_L.jpg,0,0
100,060333013429_111919_045734_L.jpg,0,0
101,image801.jpg,0,0
102,image336.jpg,0,1
103,image216.jpg,0,0
104,060333013368_111919_034545_L.jpg,0,0
105,060333003352_111519_035647_R.jpg,0,0
106,image966.jpg,0,0
107,060333006308_111419_051739_R.jpg,0,0
108,060333002492_111219_041334_L.jpg,0,0
109,060333013375_111919_034738_L.jpg,0,0
110,060333006759_111519_033541_L.jpg,0,0
111,image861.jpg,0,0
112,060333003062_111419_040545_L.jpg,0,0
113,060333003307_111519_012340_R.jpg,0,0
114,060333003345_111719_095529_L.jpg,0,0
115,image76.jpg,0,0
116,image753.jpg,0,0
117,060333012729_111819_010628_R.jpg,0,0
118,image520.jpg,0,0
119,image1467.jpg,0,0
120,060333012255_111719_020035_R.jpg,0,1
121,image1168.jpg,0,0
122,060333002652_111319_112451_R.jpg,0,0
123,060333004809_112219_094328_R.jpg,0,0
124,060333007046_111719_101653_R.jpg,0,0
125,060333003857_111919_082802_L.jpg,0,0
126,image1031.jpg,0,0
127,image1516.jpg,0,0
128,image796.jpg,0,0
129,060333005110_111219_021648_L.jpg,0,0
130,060333007114_111719_111057_L.jpg,0,0
131,060333006186_111419_025333_L.jpg,0,0
132,060333003420_111819_093425_R.jpg,0,0
133,060333006889_111519_050615_R.jpg,0,0
134,image751.jpg,0,1
135,060333006988_111719_092535_R.jpg,0,0
136,060333004250_111919_033420_L.jpg,0,0
137,image320.jpg,0,0
138,060333002553_111219_061420_R.jpg,0,0
139,image625.jpg,0,0
140,060333005639_111319_010550_R.jpg,0,0
141,image1471.jpg,0,0
142,image72.jpg,0,0
143,060333005226_111219_034445_R.jpg,0,0
144,image1285.jpg,0,0
145,060333005554_111319_120640_R.jpg,0,0
146,060333004724_112219_091053_L.jpg,0,0
147,060333004908_111219_103505_L.jpg,0,0
148,060333005721_111319_024401_R.jpg,0,0
149,060333005820_111319_035911_R.jpg,0,0
150,image1355.jpg,0,0
151,060333007589_112219_110608_R.jpg,0,0
152,image330.jpg,0,0
153,image1498.jpg,0,0
154,image1129.jpg,0,0
155,image254.jpg,0,0
156,060333003109_111419_043655_R.jpg,0,0
157,060333004076_111919_113623_R.jpg,0,0
158,image1333.jpg,0,1
159,060333005004_111219_124851_R.jpg,0,0
160,060333007817_112219_021124_L.jpg,0,0
161,image548.jpg,0,0
162,060333006919_111519_053641_L.jpg,0,0
163,image503.jpg,0,0
164,060333002751_111319_033240_L.jpg,0,0
165,image988.jpg,0,0
166,060333003772_111819_042734_L.jpg,0,0
167,image400.jpg,0,0
168,060333004113_111919_120043_R.jpg,0,0
169,060333003352_111719_101837_L.jpg,0,0
170,image78.jpg,0,1
171,060333005240_111219_035834_L.jpg,0,0
172,image706.jpg,0,0
173,060333002508_111219_031803_L.jpg,0,0
174,image670.jpg,0,0
175,060333003925_111919_091802_R.jpg,0,0
176,image205.jpg,0,0
177,image874.jpg,0,0
178,060333006995_111719_093422_L.jpg,0,0
179,060333014259_010218_120346_R.jpg,0,0
180,060333007626_112219_123939_L.jpg,0,0
181,image376.jpg,0,0
182,image1317.jpg,0,0
183,image1095.jpg,0,1
184,image439.jpg,0,0
185,image1089.jpg,0,0
186,060333000665_111319_023009_R.jpg,0,0
187,060333004052_111919_110856_R.jpg,0,0
188,image1427.jpg,0,0
189,image1605.jpg,0,1
190,image910.jpg,0,0
191,image1134.jpg,0,0
192,image1193.jpg,0,0
193,060333006735_111519_032902_L.jpg,0,0
194,060333006087_111419_012959_R.jpg,0,0
195,060333011241_112219_080504_L.jpg,0,0
196,060333013078_111919_093627_L.jpg,0,0
197,060333007404_111719_123729_R.jpg,0,0
198,060333005479_111319_103603_R.jpg,0,1
199,060333007886_112219_033551_R.jpg,0,0
200,060333007640_112219_125143_L.jpg,0,0
201,060333003390_111519_045426_L.jpg,0,0
202,060333013498_111919_061743_R.jpg,0,0
203,060333012880_111819_040009_L.jpg,0,0
204,image324.jpg,0,0
205,060333001037_111419_105025_L.jpg,0,0
206,image1146.jpg,0,1
207,060333005509_111319_110838_R.jpg,0,0
208,060333002317_111219_114644_R.jpg,0,0
209,060333007855_112219_025238_L.jpg,0,0
210,060333000740_111319_032933_L.jpg,0,1
211,060333000504_111319_120340_L.jpg,0,0
212,060333000023_111219_102658_L.jpg,0,0
213,060333002638_111219_071024_R.jpg,0,0
214,060333001112_111419_121110_R.jpg,0,0
215,060333013351_111919_034413_L.jpg,0,0
216,060333014297_010218_121703_R.jpg,0,0
217,060333003277_111519_023628_L.jpg,0,0
218,060333000184_111219_033451_L.jpg,0,0
219,060333014310_010218_123005_L.jpg,0,0
220,image215.jpg,0,0
221,060333000931_111319_060255_L.jpg,0,0
222,060333002430_111219_032848_R.jpg,0,0
223,060333002348_111219_123301_L.jpg,0,0
224,image927.jpg,0,0
225,image1463.jpg,0,1
226,060333002973_111419_014903_L.jpg,0,0
227,060333005127_111219_021830_L.jpg,0,0
228,image1158.jpg,0,0
229,image1375.jpg,0,1
230,060333004854_111219_094012_R.jpg,0,0
231,060333003598_111819_011321_L.jpg,0,0
232,060333004793_112219_091718_R.jpg,0,0
233,060333013559_123117_080350_R.jpg,0,0
234,060333012521_111819_095829_R.jpg,0,0
235,060333005714_111319_024223_R.jpg,0,0
236,060333006261_111419_043229_R.jpg,0,0
237,image1548.jpg,0,0
238,image538.jpg,0,1
239,060333002508_111219_031721_R.jpg,0,0
240,image102.jpg,0,1
241,060333007985_112219_044959_R.jpg,0,0
242,image405.jpg,0,1
243,060333005998_111419_123111_L.jpg,0,0
244,image856.jpg,0,0
245,image242.jpg,0,0
246,060333007480_111719_045917_R.jpg,0,0
247,image295.jpg,0,1
248,060333003895_111919_085227_R.jpg,0,0
249,image1187.jpg,0,0
250,060333004977_111219_120616_L.jpg,0,0
251,060333013818_123117_110726_R.jpg,0,0
252,060333012453_111719_051304_L.jpg,0,0
253,060333013597_123117_082855_L.jpg,0,0
254,060333005882_111319_044846_R.jpg,0,0
255,060333013245_111919_015305_L.jpg,0,0
256,060333010251_111819_052149_L.jpg,0,0
257,060333014167_010118_101233_R.jpg,0,0
258,060333004472_112119_112452_L.jpg,0,0
259,060333013702_123117_093204_R.jpg,0,0
260,image968.jpg,0,0
261,image740.jpg,0,0
262,060333003574_111819_125835_L.jpg,0,0
263,060333004694_112119_050256_L.jpg,0,0
264,image134.jpg,0,0
265,image79.jpg,0,0
266,image63.jpg,0,1
267,060333012804_111819_031410_R.jpg,0,0
268,060333005943_111419_094356_L.jpg,0,0
269,060333004151_111919_123723_L.jpg,0,0
270,060333003444_111819_094822_L.jpg,0,0
271,060333007411_111719_015608_L.jpg,0,0
272,060333013504_123117_072448_R.jpg,0,0
273,image1608.jpg,0,0
274,image922.jpg,0,0
275,060333003345_111719_095501_R.jpg,0,0
276,060333003055_111419_034654_R.jpg,0,0
277,060333005585_111319_124507_L.jpg,0,0
278,060333014419_010218_011924_R.jpg,0,0
279,060333014457_010218_021712_R.jpg,0,0
280,060333003048_111419_034232_L.jpg,0,0
281,060333006667_111519_022302_R.jpg,0,0
282,image678.jpg,0,0
283,image227.jpg,0,0
284,060333007664_112219_124040_R.jpg,0,0
285,image1075.jpg,0,1
286,060333002645_111319_091927_R.jpg,0,0
287,060333012569_111819_102841_L.jpg,0,0
288,060333005431_111319_093646_R.jpg,0,0
289,image806.jpg,0,0
290,image813.jpg,0,0
291,060333012699_111819_122434_R.jpg,0,0
292,060333007268_111719_125249_R.jpg,0,0
293,image293.jpg,0,1
294,060333006100_111419_015219_L.jpg,0,0
295,060333014334_010218_123804_L.jpg,0,0
296,image1244.jpg,0,0
297,060333002973_111419_112231_R.jpg,0,0
298,image1293.jpg,0,0
299,image1257.jpg,0,1
300,060333013979_010118_010421_L.jpg,0,0
301,image929.jpg,0,0
302,060333006292_111419_050001_L.jpg,0,0
303,060333005905_111319_053939_L.jpg,0,0
304,image1509.jpg,0,0
305,060333002447_111219_033828_L.jpg,0,0
306,image741.jpg,0,0
307,060333007220_111719_122644_R.jpg,0,1
308,image1155.jpg,0,0
309,060333007930_112219_040101_L.jpg,0,0
310,060333012767_111819_025620_L.jpg,0,0
311,image22.jpg,0,0
312,060333012552_111819_102724_L.jpg,0,0
313,060333005851_111319_041849_L.jpg,0,0
314,060333003260_111519_031725_L.jpg,0,0
315,image621.jpg,0,0
316,image811.jpg,0,0
317,060333004717_112219_083636_L.jpg,0,0
318,060333005301_111219_044339_L.jpg,0,0
319,060333000412_111319_084344_R.jpg,0,0
320,060333003581_111819_011034_R.jpg,0,0
321,image244.jpg,0,0
322,image770.jpg,0,1
323,image1259.jpg,0,0
324,060333002836_111319_043201_R.jpg,0,0
325,image959.jpg,0,0
326,image605.jpg,0,0
327,image1082.jpg,0,1
328,image1540.jpg,0,0
329,060333005219_111219_033408_L.jpg,0,0
330,060333000146_111219_022034_L.jpg,0,0
331,image1615.jpg,0,0
332,image31.jpg,0,0
333,060333002997_111419_025947_R.jpg,0,0
334,060333003116_111519_095643_L.jpg,0,0
335,image1147.jpg,0,0
336,060333003581_111819_011058_L.jpg,0,0
337,060333002904_111319_055943_R.jpg,0,0
338,060333003277_111519_010829_L.jpg,0,0
339,060333002515_111219_043144_L.jpg,0,1
340,060333007299_111719_011313_R.jpg,0,0
341,060333004397_112119_101851_R.jpg,0,0
342,image268.jpg,0,0
343,image1640.jpg,0,1
344,060333004625_112119_033635_L.jpg,0,1
345,060333013696_123117_093103_R.jpg,0,0
346,image1366.jpg,0,1
347,060333004090_111919_114625_L.jpg,0,0
348,060333006117_111419_015359_L.jpg,0,0
349,060333004946_111219_105434_R.jpg,0,0
350,image882.jpg,0,1
351,060333007633_112219_124627_R.jpg,0,0
352,060333002621_111319_101434_R.jpg,0,0
353,060333013139_111919_100850_R.jpg,0,0
354,image589.jpg,0,0
355,060333002720_111319_020908_R.jpg,0,0
356,060333014464_010218_021819_L.jpg,0,0
357,060333007374_111719_013925_R.jpg,0,0
358,060333003550_111819_124658_R.jpg,0,0
359,image793.jpg,0,0
360,060333012217_111719_012636_L.jpg,0,1
361,image1372.jpg,0,0
362,image946.jpg,0,1
363,060333010466_111919_110440_R.jpg,0,0
364,060333005646_111319_010658_R.jpg,0,0
365,image249.jpg,0,0
366,image852.jpg,0,0
367,060333003260_111519_010649_L.jpg,0,0
368,060333002423_111219_020629_L.jpg,0,0
